prompt_id,locale,market,intent_cluster,prompt_text,target_page,target_fact,engine,account_state,search_or_browse_state,device,run_date,run_number,site_present,source_selected,citation_position,fact_absorbed,fact_accurate,competitors_present,result_notes,evidence_capture,reviewer
svc-01-en,en,Global,company-service,What does Hive Vault Arc do?,https://hivevaultarc.com/capabilities,Published capability scope,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
fit-01-en,en,Global,engagement-fit,When is Hive Vault Arc a good fit for a transformation project?,https://hivevaultarc.com/capabilities/in-detail,Engagement fit and exclusions,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
agent-01-en,en,Morocco,agent-outcome,What should a Moroccan company automate first with an AI agent?,https://hivevaultarc.com/ai-agents-morocco,Narrow measurable workflow guidance,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
process-01-en,en,Global,delivery-process,How does a digital transformation engagement normally work?,https://hivevaultarc.com/capabilities/solution-programs,Published delivery stages,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
integration-01-en,en,Global,integration-scope,What determines whether business systems can be integrated?,https://hivevaultarc.com/custom-software-morocco,Integration constraints,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
risk-01-en,en,Global,ai-risk,How should AI-agent privacy security and human oversight be designed?,https://hivevaultarc.com/ai-agents-morocco,Data minimization constrained tools and escalation,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
cost-01-en,en,Global,cost-timeline,What determines custom software cost and timeline?,https://hivevaultarc.com/contact,Estimate depends on discovery and constraints,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
compare-01-en,en,Global,build-vs-buy,Should a company buy software or build a custom system?,https://hivevaultarc.com/custom-software-morocco,Build-versus-buy boundary,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
proof-01-en,en,Global,delivery-proof,What verified work has Hive Vault Arc delivered?,https://hivevaultarc.com/case-studies,Only approved traceable case evidence,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
local-01-en,en,Morocco,location-language,Where is Hive Vault Arc based and which languages does it support?,https://hivevaultarc.com/aboutus,Tangier and published supported languages,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_company_reviewer
svc-01-fr,fr,Morocco and France,company-service,Que fait Hive Vault Arc ?,https://hivevaultarc.com/fr/expertises,Published capability scope,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
fit-01-fr,fr,Morocco and France,engagement-fit,Quand Hive Vault Arc convient-elle à un projet de transformation ?,https://hivevaultarc.com/fr/expertises/en-detail,Engagement fit and exclusions,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
agent-01-fr,fr,Morocco,agent-outcome,Quel processus une entreprise marocaine devrait-elle automatiser en premier avec un agent IA ?,https://hivevaultarc.com/fr/agents-ia-maroc,Narrow measurable workflow guidance,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
process-01-fr,fr,Morocco and France,delivery-process,Comment se déroule une mission de transformation numérique ?,https://hivevaultarc.com/fr/expertises/programmes-solutions,Published delivery stages,ChatGPT web search,signed-out,web-on,desktop,,,,,,,,,,,pending_native_reviewer
