route_family,locale,source_locale,translation_status,title_description_h1,body,faq,alt_text,cta,schema_strings,locale_reviewer,reciprocal_translation,indexable,status,notes
static_marketing,en,en,published,implemented,implemented,where_applicable,implemented,implemented,implemented,English editorial review,yes,yes,requires_post_deploy_audit,Verify rendered parity with SEO smoke test
static_marketing,fr,fr,published,implemented,implemented,where_applicable,implemented,implemented,implemented,pending_native_reviewer,yes,yes,pending_native_review,Company must approve market vocabulary
static_marketing,es,es,published,implemented,implemented,where_applicable,implemented,implemented,implemented,pending_native_reviewer,yes,yes,pending_native_review,Company must approve natural phrasing
static_marketing,ar,ar,published,implemented,implemented,where_applicable,implemented,implemented,implemented,pending_native_reviewer,yes,yes,pending_native_review,Company must approve natural phrasing and RTL
dynamic_editorial,en,en,approved_or_local_fixture,per_document,per_document,per_document,per_document,per_document,per_document,English editorial review,approved_targets_only,approved_only,requires_cms_export,Inventory all published Sanity documents
dynamic_editorial,fr,fr,approved_only,per_document,per_document,per_document,per_document,per_document,per_document,pending_native_reviewer,approved_targets_only,approved_only,code_gate_implemented,Missing French documents now return not found and are omitted from alternate links
dynamic_editorial,es,es,approved_only,per_document,per_document,per_document,per_document,per_document,per_document,pending_native_reviewer,approved_targets_only,approved_only,code_gate_implemented,No English detail fallback is permitted
dynamic_editorial,ar,ar,approved_only,per_document,per_document,per_document,per_document,per_document,per_document,pending_native_reviewer,approved_targets_only,approved_only,code_gate_implemented,No English detail fallback is permitted and RTL needs manual QA
case_study_healthcare_ai_receptionist_crm,fr,en,missing_or_unapproved,not_published_as_fr,not_published_as_fr,not_published_as_fr,not_published_as_fr,not_published_as_fr,not_published_as_fr,pending_native_reviewer,no,no,protected_by_detail_gate,Create and approve a native French document before indexing
case_study_multilingual_whatsapp_ai_agent,fr,en,missing_or_unapproved,not_published_as_fr,not_published_as_fr,not_published_as_fr,not_published_as_fr,not_published_as_fr,not_published_as_fr,pending_native_reviewer,no,no,protected_by_detail_gate,Create and approve a native French document before indexing
