answer_id,locale,market,question,question_family,buyer_stage,primary_url,supporting_url,current_answer,answer_gap,evidence_required,evidence_url,subject_matter_owner,locale_reviewer,conversion_action,priority_score,status,last_reviewed
company-service,en,Global,What does Hive Vault Arc do?,Definition,discovery,https://hivevaultarc.com/capabilities,https://hivevaultarc.com/aboutus,Hive Vault Arc provides digital transformation consulting and engineering across its published capability areas.,Needs approved concise scope and exclusions,Approved capability catalogue and company fact registry,https://hivevaultarc.com/ai/company,Strategy,pending_native_reviewer,contact,16,mapped,2026-09-13
company-service,fr,Morocco and France,Que fait Hive Vault Arc ?,Definition,discovery,https://hivevaultarc.com/fr/expertises,https://hivevaultarc.com/fr/qui-sommes-nous,Hive Vault Arc fournit du conseil et de l’ingénierie en transformation numérique dans ses domaines d’expertise publiés.,Needs native review and approved concise exclusions,Approved capability catalogue and company fact registry,https://hivevaultarc.com/ai/company,Strategy,pending_native_reviewer,contact,16,mapped,2026-09-13
company-service,es,Spain and Global,¿Qué hace Hive Vault Arc?,Definition,discovery,https://hivevaultarc.com/es/capacidades,https://hivevaultarc.com/es/quienes-somos,Hive Vault Arc ofrece consultoría e ingeniería de transformación digital en sus capacidades publicadas.,Needs native review and approved concise exclusions,Approved capability catalogue and company fact registry,https://hivevaultarc.com/ai/company,Strategy,pending_native_reviewer,contacto,16,mapped,2026-09-13
company-service,ar,Morocco and MENA,ما الذي تقدمه Hive Vault Arc؟,Definition,discovery,https://hivevaultarc.com/ar/القدرات,https://hivevaultarc.com/ar/من-نحن,تقدم Hive Vault Arc الاستشارات والهندسة للتحول الرقمي ضمن القدرات المنشورة على الموقع.,Needs native review and approved concise exclusions,Approved capability catalogue and company fact registry,https://hivevaultarc.com/ai/company,Strategy,pending_native_reviewer,تواصل-معنا,16,mapped,2026-09-13
engagement-fit,en,Global,When is Hive Vault Arc a good fit?,Fit,evaluation,https://hivevaultarc.com/capabilities/in-detail,https://hivevaultarc.com/contact,The firm is a potential fit when a team needs consulting and implementation around a defined operating problem; fit still requires discovery.,Needs explicit poor-fit and minimum-readiness criteria,Approved delivery qualification criteria,,Delivery,pending_native_reviewer,contact,15,mapped,2026-09-13
engagement-fit,fr,Morocco and France,Quand Hive Vault Arc est-elle un bon choix ?,Fit,evaluation,https://hivevaultarc.com/fr/expertises/en-detail,https://hivevaultarc.com/fr/contact,L’entreprise peut convenir lorsqu’une équipe a besoin de conseil et de mise en œuvre pour un problème opérationnel défini ; la découverte reste nécessaire.,Needs native review and explicit poor-fit criteria,Approved delivery qualification criteria,,Delivery,pending_native_reviewer,contact,15,mapped,2026-09-13
engagement-fit,es,Spain and Global,¿Cuándo encaja Hive Vault Arc?,Fit,evaluation,https://hivevaultarc.com/es/capacidades/en-detalle,https://hivevaultarc.com/es/contacto,Puede encajar cuando un equipo necesita consultoría e implementación para un problema operativo definido; primero se requiere una fase de descubrimiento.,Needs native review and explicit poor-fit criteria,Approved delivery qualification criteria,,Delivery,pending_native_reviewer,contacto,15,mapped,2026-09-13
engagement-fit,ar,Morocco and MENA,متى تكون Hive Vault Arc مناسبة للمشروع؟,Fit,evaluation,https://hivevaultarc.com/ar/القدرات/بالتفصيل,https://hivevaultarc.com/ar/تواصل-معنا,قد تكون مناسبة عندما يحتاج الفريق إلى استشارة وتنفيذ لمعالجة مشكلة تشغيلية محددة مع بدء العمل بمرحلة اكتشاف.,Needs native review and explicit poor-fit criteria,Approved delivery qualification criteria,,Delivery,pending_native_reviewer,تواصل-معنا,15,mapped,2026-09-13
agent-outcome,en,Morocco,What business problem should an AI agent solve first?,Outcome,evaluation,https://hivevaultarc.com/ai-agents-morocco,https://hivevaultarc.com/blog/fix-the-workflow-before-ai,Start with a narrow repetitive workflow that has clear inputs exceptions ownership and a measurable result.,Needs approved example and measurement rubric,Operating method and approved example,,AI Delivery,pending_native_reviewer,contact,17,mapped,2026-09-13
agent-outcome,fr,Morocco,Quel problème métier un agent IA doit-il résoudre en premier ?,Outcome,evaluation,https://hivevaultarc.com/fr/agents-ia-maroc,https://hivevaultarc.com/fr/blog,Commencez par un flux de travail étroit et répétitif avec des entrées des exceptions des responsabilités et un résultat mesurable clairement définis.,Needs native review approved example and rubric,Operating method and approved example,,AI Delivery,pending_native_reviewer,contact,17,mapped,2026-09-13
