cluster_id,locale,query_or_theme,intent_type,buyer_stage,market,current_url,recommended_action,primary_page,supporting_pages,proof_required,conversion_action,gsc_baseline,owner,status
brand-company,en,Hive Vault Arc,navigational / brand,validation,Global,https://hivevaultarc.com/,strengthen entity and trust links,https://hivevaultarc.com/,https://hivevaultarc.com/aboutus|https://hivevaultarc.com/whoarewe/portfolio,verified company facts and approved people profiles,contact,blocked_company_gsc_access,Brand,mapped
brand-company,fr,Hive Vault Arc entreprise,navigational / brand,validation,Morocco and France,https://hivevaultarc.com/fr,strengthen entity and trust links,https://hivevaultarc.com/fr,https://hivevaultarc.com/fr/qui-sommes-nous|https://hivevaultarc.com/fr/qui-sommes-nous/portfolio,verified company facts and approved people profiles,contact,blocked_company_gsc_access,Brand,mapped
brand-company,es,Hive Vault Arc empresa,navigational / brand,validation,Spain and Global,https://hivevaultarc.com/es,strengthen entity and trust links,https://hivevaultarc.com/es,https://hivevaultarc.com/es/quienes-somos|https://hivevaultarc.com/es/quienes-somos/portfolio,verified company facts and approved people profiles,contacto,blocked_company_gsc_access,Brand,mapped
brand-company,ar,شركة Hive Vault Arc,navigational / brand,validation,Morocco and MENA,https://hivevaultarc.com/ar,strengthen entity and trust links,https://hivevaultarc.com/ar,https://hivevaultarc.com/ar/من-نحن|https://hivevaultarc.com/ar/من-نحن/أعمالنا,verified company facts and approved people profiles,تواصل-معنا,blocked_company_gsc_access,Brand,mapped
capabilities-overview,en,digital transformation capabilities,commercial service,evaluation,Global,https://hivevaultarc.com/capabilities,make this the capability chooser,https://hivevaultarc.com/capabilities,https://hivevaultarc.com/capabilities/in-detail|https://hivevaultarc.com/capabilities/solution-programs,delivery scope and capability-specific evidence,contact,blocked_company_gsc_access,Strategy,mapped
capabilities-overview,fr,expertises en transformation numérique,commercial service,evaluation,Morocco and France,https://hivevaultarc.com/fr/expertises,make this the capability chooser,https://hivevaultarc.com/fr/expertises,https://hivevaultarc.com/fr/expertises/en-detail|https://hivevaultarc.com/fr/expertises/programmes-solutions,delivery scope and capability-specific evidence,contact,blocked_company_gsc_access,Strategy,mapped
capabilities-overview,es,capacidades de transformación digital,commercial service,evaluation,Spain and Global,https://hivevaultarc.com/es/capacidades,make this the capability chooser,https://hivevaultarc.com/es/capacidades,https://hivevaultarc.com/es/capacidades/en-detalle|https://hivevaultarc.com/es/capacidades/programas-de-soluciones,delivery scope and capability-specific evidence,contacto,blocked_company_gsc_access,Strategy,mapped
capabilities-overview,ar,قدرات التحول الرقمي,commercial service,evaluation,Morocco and MENA,https://hivevaultarc.com/ar/القدرات,make this the capability chooser,https://hivevaultarc.com/ar/القدرات,https://hivevaultarc.com/ar/القدرات/بالتفصيل|https://hivevaultarc.com/ar/القدرات/برامج-الحلول,delivery scope and capability-specific evidence,تواصل-معنا,blocked_company_gsc_access,Strategy,mapped
ai-agents-tangier,en,AI agents Tangier,local commercial,decision,Tangier,https://hivevaultarc.com/ai-agents-tangier,own local discovery and delivery fit,https://hivevaultarc.com/ai-agents-tangier,https://hivevaultarc.com/ai-agents-morocco|https://hivevaultarc.com/capabilities,verified language support and local delivery process,contact,blocked_company_gsc_access,AI Delivery,mapped
ai-agents-tangier,fr,agents IA Tanger,local commercial,decision,Tangier,https://hivevaultarc.com/fr/agents-ia-tanger,own local discovery and delivery fit,https://hivevaultarc.com/fr/agents-ia-tanger,https://hivevaultarc.com/fr/agents-ia-maroc|https://hivevaultarc.com/fr/expertises,verified language support and local delivery process,contact,blocked_company_gsc_access,AI Delivery,mapped
ai-agents-tangier,es,agentes de IA en Tánger,local commercial,decision,Tangier,https://hivevaultarc.com/es/agentes-ia-tanger,own local discovery and delivery fit,https://hivevaultarc.com/es/agentes-ia-tanger,https://hivevaultarc.com/es/agentes-ia-marruecos|https://hivevaultarc.com/es/capacidades,verified language support and local delivery process,contacto,blocked_company_gsc_access,AI Delivery,mapped
ai-agents-tangier,ar,وكلاء الذكاء الاصطناعي في طنجة,local commercial,decision,Tangier,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-طنجة,own local discovery and delivery fit,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-طنجة,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-المغرب|https://hivevaultarc.com/ar/القدرات,verified language support and local delivery process,تواصل-معنا,blocked_company_gsc_access,AI Delivery,mapped
ai-agents-morocco,en,AI agents Morocco,commercial service,evaluation,Morocco,https://hivevaultarc.com/ai-agents-morocco,own national workflow and vendor-fit intent,https://hivevaultarc.com/ai-agents-morocco,https://hivevaultarc.com/ai-agents-tangier|https://hivevaultarc.com/blog,approved examples and operating constraints,contact,blocked_company_gsc_access,AI Delivery,mapped
ai-agents-morocco,fr,agents IA Maroc,commercial service,evaluation,Morocco,https://hivevaultarc.com/fr/agents-ia-maroc,own national workflow and vendor-fit intent,https://hivevaultarc.com/fr/agents-ia-maroc,https://hivevaultarc.com/fr/agents-ia-tanger|https://hivevaultarc.com/fr/blog,approved examples and operating constraints,contact,blocked_company_gsc_access,AI Delivery,mapped
ai-agents-morocco,es,agentes de IA en Marruecos,commercial service,evaluation,Morocco,https://hivevaultarc.com/es/agentes-ia-marruecos,own national workflow and vendor-fit intent,https://hivevaultarc.com/es/agentes-ia-marruecos,https://hivevaultarc.com/es/agentes-ia-tanger|https://hivevaultarc.com/es/blog,approved examples and operating constraints,contacto,blocked_company_gsc_access,AI Delivery,mapped
ai-agents-morocco,ar,وكلاء الذكاء الاصطناعي في المغرب,commercial service,evaluation,Morocco,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-المغرب,own national workflow and vendor-fit intent,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-المغرب,https://hivevaultarc.com/ar/وكلاء-الذكاء-الاصطناعي-طنجة|https://hivevaultarc.com/ar/المدونة,approved examples and operating constraints,تواصل-معنا,blocked_company_gsc_access,AI Delivery,mapped
it-consulting-tangier,en,IT consulting Tangier,local commercial,decision,Tangier,https://hivevaultarc.com/it-consulting-tangier,own local advisory and engineering intent,https://hivevaultarc.com/it-consulting-tangier,https://hivevaultarc.com/capabilities|https://hivevaultarc.com/industries,reviewer credentials and delivery artifacts,contact,blocked_company_gsc_access,Consulting,mapped
it-consulting-tangier,fr,conseil informatique Tanger,local commercial,decision,Tangier,https://hivevaultarc.com/fr/conseil-informatique-tanger,own local advisory and engineering intent,https://hivevaultarc.com/fr/conseil-informatique-tanger,https://hivevaultarc.com/fr/expertises|https://hivevaultarc.com/fr/secteurs,reviewer credentials and delivery artifacts,contact,blocked_company_gsc_access,Consulting,mapped
it-consulting-tangier,es,consultoría informática en Tánger,local commercial,decision,Tangier,https://hivevaultarc.com/es/consultoria-informatica-tanger,own local advisory and engineering intent,https://hivevaultarc.com/es/consultoria-informatica-tanger,https://hivevaultarc.com/es/capacidades|https://hivevaultarc.com/es/sectores,reviewer credentials and delivery artifacts,contacto,blocked_company_gsc_access,Consulting,mapped
it-consulting-tangier,ar,استشارات تقنية في طنجة,local commercial,decision,Tangier,https://hivevaultarc.com/ar/استشارات-تقنية-طنجة,own local advisory and engineering intent,https://hivevaultarc.com/ar/استشارات-تقنية-طنجة,https://hivevaultarc.com/ar/القدرات|https://hivevaultarc.com/ar/القطاعات,reviewer credentials and delivery artifacts,تواصل-معنا,blocked_company_gsc_access,Consulting,mapped
custom-software-morocco,en,custom software Morocco,commercial service,decision,Morocco,https://hivevaultarc.com/custom-software-morocco,own custom-build purchase intent,https://hivevaultarc.com/custom-software-morocco,https://hivevaultarc.com/capabilities|https://hivevaultarc.com/case-studies,approved delivery examples and build-vs-buy boundaries,contact,blocked_company_gsc_access,Software Engineering,mapped
custom-software-morocco,fr,logiciel sur mesure Maroc,commercial service,decision,Morocco,https://hivevaultarc.com/fr/logiciels-sur-mesure-maroc,own custom-build purchase intent,https://hivevaultarc.com/fr/logiciels-sur-mesure-maroc,https://hivevaultarc.com/fr/expertises|https://hivevaultarc.com/fr/etudes-de-cas,approved delivery examples and build-vs-buy boundaries,contact,blocked_company_gsc_access,Software Engineering,mapped
custom-software-morocco,es,software a medida Marruecos,commercial service,decision,Morocco,https://hivevaultarc.com/es/software-a-medida-marruecos,own custom-build purchase intent,https://hivevaultarc.com/es/software-a-medida-marruecos,https://hivevaultarc.com/es/capacidades|https://hivevaultarc.com/es/casos-de-estudio,approved delivery examples and build-vs-buy boundaries,contacto,blocked_company_gsc_access,Software Engineering,mapped
